row,ec1,ec2,ec3,ec4,ec5,ec6
1,0,3,0,0,0,0
2,0,0,0,0,2,0
3,0,27,0,0,0,0
4,0,0,3,0,0,0
5,0,0,2,0,0,0
6,0,0,5,0,0,0
7,0,0,52,0,0,0
8,24,0,1,6,0,0
[
[0,0,0,0,0,0,0,24],
[3,0,27,0,0,0,0,0],
[0,0,0,3,2,5,52,1],
[0,0,0,0,0,0,06],
[0,02,0,0,0,0,00],
[0,0,0,0,0,0,00],

]

