ECCode      rmrID bondType  weight 
1.1.1.134   22384 C-O*C=O   1      
1.1.1.135   22927 C-O*C=O   1      
1.1.1.135   22929 C-O*C=O   1      
1.1.1.136   20360 C-O*C=O   1      
1.1.1.137   21318 C-O*C=O   1      
1.1.1.137   21319 C-O*C=O   1      
1.1.1.141   22211 C-O*C=O   1      
1.1.1.141   22301 C-O*C=O   1      
1.1.1.142   23012 C-O*C=O   1      
1.1.1.143   23011 C-O*C=O   1      
1.1.1.144   23411 C-O*C=O   1      
1.1.1.145   21571 C%C*C%C   2      
1.1.1.145   21571 C-O*C=O   1      
1.1.1.145   21888 C%C*C%C   2      
1.1.1.145   21888 C-O*C=O   1      
1.1.1.145   22140 C%C*C%C   2      
1.1.1.145   22140 C-O*C=O   1      
1.1.1.145   22439 C%C*C%C   2      
1.1.1.145   22439 C-O*C=O   1      
1.1.1.145   22735 C-O*C=O   1      
1.1.1.145   22867 C%C*C%C   2      
1.1.1.145   22867 C-O*C=O   1      
1.1.1.145   23602 C%C*C%C   2      
1.1.1.145   23602 C-O*C=O   1      
1.1.1.145   24037 C%C*C%C   2      
1.1.1.145   24037 C-O*C=O   1      
1.1.1.145   24179 C%C*C%C   2      
1.1.1.145   24179 C-O*C=O   1      
1.1.1.146   22434 C-O*C=O   1      
1.1.1.146   22435 C-O*C=O   1      
1.1.1.146   23324 C-O*C=O   1      
1.1.1.146   24107 C-O*C=O   1      
1.1.1.146   24172 C-O*C=O   1      
1.1.1.146   28470 C-O*C=O   1      
1.1.1.147   22781 C-O*C=O   1      
1.1.1.147   22782 C-O*C=O   1      
1.1.1.148   22006 C-O*C=O   1      
1.1.1.148   22007 C-O*C=O   1      
1.1.1.149   21879 C-O*C=O   1      
1.1.1.149   21881 C-O*C=O   1      
1.1.1.149   22865 C-O*C=O   1      
1.1.1.149   28044 C-O*C=O   1      
1.1.1.149   28045 C-O*C=O   1      
1.1.1.150   22618 C-O*C=O   1      
1.1.1.151   22619 C-O*C=O   1      
1.1.1.152   23721 C-O*C=O   1      
1.1.1.153   21552 C-O*C=O   1      
1.1.1.153   22559 C-O*C=O   1      
1.1.1.153   23704 C-O*C=O   1      
1.1.1.153   27322 C-O*C=O   2      
1.1.1.154   22523 C-O*C=O   1      
1.1.1.154   22524 C-O*C=O   1      
1.1.1.156   20893 C-O*C=O   1      
1.1.1.157   21686 C-O*C=O   1      
1.1.1.157   24804 C-O*C=O   1      
1.1.1.158   22749 C-C*C=C   1      
1.1.1.158   22750 C-C*C=C   1      
1.1.1.159   22396 C-O*C=O   1      
1.1.1.160   23997 C-O*C=O   1      
1.1.1.161   23017 C-O*C=O   1      
1.1.1.162   27679 C-O*C=O   1      
1.1.1.163   22187 C-O*C=O   1      
1.1.1.164   22108 C-O*C=O   1      
1.1.1.165   23425 C-O*C=O   1      
1.1.1.166   24563 C-O*C=O   1      
1.1.1.167   22553 C-O*C=O   1      
1.1.1.168   22717 C-O*C=O   1      
1.1.1.169   22118 C-O*C=O   1      
1.1.1.170   23878 C-O*C=O   2      
1.1.1.170   26299 C-O*C=O   2      
1.1.1.170   26628 C-O*C=O   2      
1.1.1.172   21651 C-O*C=O   1      
1.1.1.173   23408 C-O*C=O   1      
1.1.1.174   22829 C-O*C=O   1      
1.1.1.174   22830 C-O*C=O   1      
1.1.1.174   25798 C-O*C=O   1      
1.1.1.175   21236 C-O*C=O   1      
1.1.1.176   22397 C-O*C=O   1      
1.1.1.177   20723 C-O*C=O   1      
1.1.1.178   23637 C-O*C=O   1      
1.1.1.179   21237 C-O*C=O   1      
1.1.1.18    21015 C-O*C=O   1      
1.1.1.181   23683 C%C*C%C   2      
1.1.1.181   23683 C-O*C=O   1      
1.1.1.181   23684 C%C*C%C   2      
1.1.1.181   23684 C-O*C=O   1      
