ECCode	DomainPattern	Weight
6.3.2.13	G3DSA:3.90.190.20	146.0
6.3.2.13	MF_00208	146.0
6.3.2.13	PB004297	1.0
6.3.2.13	PB008995	2.0
6.3.2.13	PB009860	3.0
6.3.2.13	PF01225	134.0
6.3.2.13	PF02875	146.0
6.3.2.13	PF08245	147.0
6.3.2.13	PS01011	16.0
6.3.2.13	PTHR23135	146.0
6.3.2.13	PTHR23135:SF4	146.0
6.3.2.13	SSF53244	146.0
6.3.2.13	SSF53623	147.0
6.3.2.13	SSF63418	137.0
6.3.2.13	TIGR01045	1.0
6.3.2.13	TIGR01085	146.0
6.3.2.17	G3DSA:3.40.1190.10	32.0
6.3.2.17	G3DSA:3.90.190.20	43.0
6.3.2.17	PF02875	5.0
6.3.2.17	PF08245	16.0
6.3.2.17	PIRSF001563	9.0
6.3.2.17	PIRSF038895	20.0
6.3.2.17	PS01011	29.0
6.3.2.17	PS01012	29.0
6.3.2.17	PS51257	1.0
6.3.2.17	PTHR11136	32.0
6.3.2.17	PTHR11136:SF0	32.0
6.3.2.17	SSF53244	31.0
6.3.2.17	SSF53623	32.0
6.3.2.17	TIGR01499	32.0
6.3.2.19	G3DSA:1.10.8.10	7.0
6.3.2.19	G3DSA:3.10.110.10	255.0
6.3.2.19	G3DSA:3.10.20.90	1.0
6.3.2.19	G3DSA:3.10.470.10	1.0
6.3.2.19	G3DSA:3.30.40.10	4.0
6.3.2.19	G3DSA:3.40.50.410	1.0
6.3.2.19	G3DSA:4.10.45.10	1.0
6.3.2.19	PB000470	1.0
6.3.2.19	PB001182	1.0
6.3.2.19	PB001286	2.0
6.3.2.19	PB001298	2.0
6.3.2.19	PB001445	2.0
6.3.2.19	PB001705	1.0
6.3.2.19	PB002389	2.0
6.3.2.19	PB002568	1.0
6.3.2.19	PB003064	2.0
6.3.2.19	PB003352	1.0
6.3.2.19	PB005331	1.0
6.3.2.19	PB008912	2.0
6.3.2.19	PB009006	1.0
6.3.2.19	PB009039	2.0
6.3.2.19	PB009935	1.0
6.3.2.19	PB013351	1.0
6.3.2.19	PB013702	1.0
6.3.2.19	PB013955	2.0
6.3.2.19	PB014679	1.0
6.3.2.19	PB016724	2.0
6.3.2.19	PB016866	1.0
6.3.2.19	PB016875	1.0
6.3.2.19	PB017436	2.0
6.3.2.19	PB017670	1.0
6.3.2.19	PF00179	251.0
6.3.2.19	PF00622	2.0
6.3.2.19	PF00627	5.0
6.3.2.19	PF04564	1.0
6.3.2.19	PF05773	3.0
6.3.2.19	PF09288	2.0
6.3.2.19	PF12678	1.0
6.3.2.19	PF13519	1.0
6.3.2.19	PF13765	2.0
6.3.2.19	PF13923	2.0
6.3.2.19	PR01407	10.0
6.3.2.19	PS00183	196.0
6.3.2.19	PS00518	2.0
6.3.2.19	PS50030	6.0
6.3.2.19	PS50089	3.0
6.3.2.19	PS50127	252.0
6.3.2.19	PS50188	2.0
6.3.2.19	PS50234	1.0
6.3.2.19	PTHR10044	1.0
6.3.2.19	PTHR10044:SF77	1.0
6.3.2.19	PTHR24067	184.0
6.3.2.19	PTHR24067:SF0	9.0
6.3.2.19	PTHR24067:SF11	2.0
6.3.2.19	PTHR24067:SF22	4.0
6.3.2.19	PTHR24067:SF26	23.0
6.3.2.19	PTHR24067:SF27	2.0
6.3.2.19	PTHR24067:SF29	8.0
6.3.2.19	PTHR24067:SF3	10.0
6.3.2.19	PTHR24067:SF31	6.0
6.3.2.19	PTHR24067:SF32	2.0
6.3.2.19	PTHR24067:SF35	12.0
6.3.2.19	PTHR24067:SF4	7.0
6.3.2.19	PTHR24067:SF42	14.0
6.3.2.19	PTHR24067:SF44	12.0
6.3.2.19	PTHR24067:SF54	3.0
6.3.2.19	PTHR24067:SF56	5.0
6.3.2.19	PTHR24067:SF57	26.0
6.3.2.19	PTHR24067:SF59	6.0
6.3.2.19	PTHR24067:SF61	1.0
6.3.2.19	PTHR24067:SF63	6.0
6.3.2.19	PTHR24067:SF64	2.0
6.3.2.19	PTHR24067:SF65	3.0
6.3.2.19	PTHR24067:SF66	5.0
6.3.2.19	PTHR24067:SF67	3.0
6.3.2.19	PTHR24067:SF68	6.0
6.3.2.19	PTHR24067:SF9	6.0
6.3.2.19	PTHR24068	66.0
6.3.2.19	PTHR24068:SF1	5.0
6.3.2.19	PTHR24068:SF3	6.0
6.3.2.19	PTHR24068:SF4	3.0
6.3.2.19	PTHR24103	2.0
6.3.2.19	PTHR24103:SF19	2.0
6.3.2.19	SM00165	5.0
6.3.2.19	SM00184	3.0
6.3.2.19	SM00212	251.0
6.3.2.19	SM00327	1.0
6.3.2.19	SM00449	2.0
6.3.2.19	SM00504	1.0
6.3.2.19	SM00589	2.0
6.3.2.19	SM00591	2.0
6.3.2.19	SSF102875	1.0
6.3.2.19	SSF46934	7.0
6.3.2.19	SSF49899	2.0
6.3.2.19	SSF53300	1.0
6.3.2.19	SSF54236	1.0
6.3.2.19	SSF54495	254.0
6.3.2.19	SSF57850	4.0
6.3.2.2	G3DSA:3.30.1490.20	14.0
6.3.2.2	G3DSA:3.30.470.20	27.0
6.3.2.2	MF_00578	104.0
6.3.2.2	MF_00782	14.0
6.3.2.2	PB002216	2.0
6.3.2.2	PB003189	1.0
6.3.2.2	PB004682	1.0
6.3.2.2	PF01071	3.0
6.3.2.2	PF03074	12.0
6.3.2.2	PF04107	11.0
6.3.2.2	PF04262	120.0
6.3.2.2	PF08443	1.0
6.3.2.2	PF13535	10.0
6.3.2.2	PS50975	14.0
6.3.2.2	PTHR11164	11.0
6.3.2.2	PTHR11164:SF0	11.0
6.3.2.2	PTHR30297	119.0
6.3.2.2	PTHR30297:SF0	119.0
6.3.2.2	SSF50249	1.0
6.3.2.2	SSF55931	141.0
6.3.2.2	SSF56059	15.0
6.3.2.2	TIGR01434	104.0
6.3.2.2	TIGR01435	13.0
6.3.2.2	TIGR01436	9.0
6.3.2.2	TIGR03444	2.0
6.3.2.20	G3DSA:3.40.50.980	1.0
6.3.2.20	PF00501	1.0
6.3.2.20	PS00455	1.0
6.3.2.20	SSF56801	1.0
6.3.2.25	G3DSA:3.30.470.20	5.0
6.3.2.25	G3DSA:3.40.1210.10	2.0
6.3.2.25	PB000082	5.0
6.3.2.25	PF01975	1.0
6.3.2.25	PF03133	7.0
6.3.2.25	PS51221	7.0
6.3.2.25	PTHR12241	7.0
6.3.2.25	PTHR12241:SF6	5.0
6.3.2.25	PTHR12241:SF7	2.0
6.3.2.25	SSF56059	7.0
6.3.2.25	SSF64167	1.0
6.3.2.25	TIGR00087	1.0
6.3.2.26	G3DSA:1.10.1200.10	15.0
6.3.2.26	G3DSA:2.30.38.10	16.0
6.3.2.26	G3DSA:3.30.300.30	16.0
6.3.2.26	G3DSA:3.40.50.1820	5.0
6.3.2.26	G3DSA:3.40.50.980	33.0
6.3.2.26	PB002861	2.0
6.3.2.26	PF00501	16.0
6.3.2.26	PF00550	15.0
6.3.2.26	PF00668	15.0
6.3.2.26	PF00975	5.0
6.3.2.26	PF13745	5.0
6.3.2.26	PS00012	13.0
6.3.2.26	PS00455	14.0
6.3.2.26	PS50075	15.0
6.3.2.26	PTHR24095	2.0
6.3.2.26	PTHR24095:SF43	2.0
6.3.2.26	PTHR24096	4.0
6.3.2.26	PTHR24096:SF4	4.0
6.3.2.26	SM00823	9.0
6.3.2.26	SSF47336	15.0
6.3.2.26	SSF52777	33.0
6.3.2.26	SSF53474	5.0
6.3.2.26	SSF56801	16.0
6.3.2.26	TIGR01733	16.0
6.3.2.28	G3DSA:3.30.1490.20	3.0
6.3.2.28	G3DSA:3.30.470.20	6.0
6.3.2.28	G3DSA:3.40.50.20	1.0
6.3.2.28	PF13535	3.0
6.3.2.28	PS50975	3.0
6.3.2.28	PTHR10578	3.0
6.3.2.28	PTHR10578:SF1	3.0
6.3.2.28	SSF56059	3.0
6.3.2.29	G3DSA:3.30.1490.20	5.0
6.3.2.29	G3DSA:3.30.470.20	15.0
6.3.2.29	G3DSA:3.40.1190.10	5.0
6.3.2.29	G3DSA:3.90.190.20	5.0
6.3.2.29	PF02875	5.0
6.3.2.29	PF08245	5.0
6.3.2.29	PF13535	5.0
6.3.2.29	PS50975	5.0
6.3.2.29	PTHR23135	5.0
6.3.2.29	PTHR23135:SF4	5.0
6.3.2.29	SSF53244	5.0
6.3.2.29	SSF53623	5.0
6.3.2.29	SSF56059	5.0
6.3.2.29	TIGR02068	5.0
6.3.2.3	G3DSA:1.10.1080.10	19.0
6.3.2.3	G3DSA:3.30.1490.20	65.0
6.3.2.3	G3DSA:3.30.1490.50	2.0
6.3.2.3	G3DSA:3.30.1490.80	18.0
6.3.2.3	G3DSA:3.30.470.20	90.0
6.3.2.3	G3DSA:3.40.50.1760	12.0
6.3.2.3	G3DSA:3.40.50.20	51.0
6.3.2.3	MF_00162	51.0
6.3.2.3	MF_00782	14.0
6.3.2.3	PB000082	15.0
6.3.2.3	PF01071	3.0
6.3.2.3	PF02951	51.0
6.3.2.3	PF02955	51.0
6.3.2.3	PF03199	12.0
6.3.2.3	PF03917	12.0
6.3.2.3	PF04262	16.0
6.3.2.3	PF08443	1.0
6.3.2.3	PF13535	10.0
6.3.2.3	PIRSF001558	12.0
6.3.2.3	PS50975	65.0
6.3.2.3	PTHR11130	12.0
6.3.2.3	PTHR11130:SF0	12.0
6.3.2.3	PTHR21621	51.0
6.3.2.3	PTHR21621:SF0	50.0
6.3.2.3	PTHR30297	15.0
6.3.2.3	PTHR30297:SF0	15.0
6.3.2.3	SSF52440	63.0
6.3.2.3	SSF55931	15.0
6.3.2.3	SSF56059	78.0
6.3.2.3	TIGR01380	51.0
6.3.2.3	TIGR01435	13.0
6.3.2.3	TIGR01986	12.0
6.3.2.30	G3DSA:3.30.1490.20	5.0
6.3.2.30	G3DSA:3.30.470.20	15.0
6.3.2.30	G3DSA:3.40.1190.10	5.0
6.3.2.30	G3DSA:3.90.190.20	5.0
6.3.2.30	PF02875	5.0
6.3.2.30	PF08245	5.0
6.3.2.30	PF13535	5.0
6.3.2.30	PS50975	5.0
6.3.2.30	PTHR23135	5.0
6.3.2.30	PTHR23135:SF4	5.0
6.3.2.30	SSF53244	5.0
6.3.2.30	SSF53623	5.0
6.3.2.30	SSF56059	5.0
6.3.2.30	TIGR02068	5.0
6.3.2.33	G3DSA:3.30.1490.20	4.0
6.3.2.33	G3DSA:3.30.470.20	4.0
6.3.2.33	PB006088	1.0
6.3.2.33	PF08443	4.0
6.3.2.33	PS50975	4.0
6.3.2.33	PTHR21621	4.0
6.3.2.33	PTHR21621:SF0	4.0
6.3.2.33	SSF56059	4.0
6.3.2.33	TIGR00768	4.0
6.3.2.36	PD016827	1.0
6.3.2.36	PF02006	1.0
6.3.2.36	PIRSF004853	1.0
6.3.2.37	G3DSA:3.40.1190.10	1.0
6.3.2.37	G3DSA:3.40.1390.10	1.0
6.3.2.37	G3DSA:3.90.190.20	1.0
6.3.2.37	MF_00208	1.0
6.3.2.37	PF01225	1.0
6.3.2.37	PF02875	1.0
6.3.2.37	PF08245	1.0
6.3.2.37	PS01011	1.0
6.3.2.37	PTHR23135	1.0
6.3.2.37	PTHR23135:SF4	1.0
6.3.2.37	SSF53244	1.0
6.3.2.37	SSF53623	1.0
6.3.2.37	SSF63418	1.0
6.3.2.37	TIGR01085	1.0
6.3.2.4	G3DSA:3.30.1490.20	586.0
6.3.2.4	G3DSA:3.30.470.20	792.0
6.3.2.4	G3DSA:3.40.1190.10	4.0
6.3.2.4	G3DSA:3.40.50.20	589.0
6.3.2.4	G3DSA:3.40.50.720	4.0
6.3.2.4	G3DSA:3.50.50.60	1.0
6.3.2.4	G3DSA:3.90.190.20	4.0
6.3.2.4	MF_00046	4.0
6.3.2.4	MF_00047	585.0
6.3.2.4	PB000215	8.0
6.3.2.4	PB000291	1.0
6.3.2.4	PB001887	3.0
6.3.2.4	PB006088	9.0
6.3.2.4	PF01225	4.0
6.3.2.4	PF01820	832.0
6.3.2.4	PF02875	4.0
6.3.2.4	PF07478	585.0
6.3.2.4	PF08245	4.0
6.3.2.4	PF13535	1.0
6.3.2.4	PS00843	578.0
6.3.2.4	PS00844	551.0
6.3.2.4	PS50975	586.0
6.3.2.4	PTHR23132	582.0
6.3.2.4	PTHR23132:SF0	582.0
6.3.2.4	PTHR23135	4.0
6.3.2.4	PTHR23135:SF5	4.0
6.3.2.4	SSF51984	4.0
6.3.2.4	SSF52440	586.0
6.3.2.4	SSF53244	4.0
6.3.2.4	SSF53623	4.0
6.3.2.4	SSF56059	586.0
6.3.2.4	TIGR01082	4.0
6.3.2.4	TIGR01205	577.0
6.3.2.4	TIGR03774	1.0
6.3.2.5	G3DSA:3.40.50.10300	19.0
6.3.2.5	G3DSA:3.40.50.1950	14.0
6.3.2.5	PB018040	3.0
6.3.2.5	PF02441	14.0
6.3.2.5	PF04127	24.0
6.3.2.5	PTHR12290	5.0
6.3.2.5	PTHR12290:SF2	5.0
6.3.2.5	PTHR14359	14.0
6.3.2.5	PTHR14359:SF6	14.0
6.3.2.5	SSF102645	19.0
6.3.2.5	SSF52507	14.0
6.3.2.5	TIGR00521	14.0
6.3.2.6	G3DSA:3.30.200.20	541.0
6.3.2.6	G3DSA:3.30.470.20	541.0
6.3.2.6	G3DSA:3.40.50.20	1.0
6.3.2.6	G3DSA:3.40.50.7700	8.0
6.3.2.6	MF_00137	529.0
6.3.2.6	PB000388	1.0
6.3.2.6	PB001881	1.0
6.3.2.6	PB003258	1.0
6.3.2.6	PB004795	1.0
6.3.2.6	PB006031	2.0
6.3.2.6	PB006855	1.0
6.3.2.6	PB011047	1.0
6.3.2.6	PB016931	1.0
6.3.2.6	PB018476	1.0
6.3.2.6	PB019614	2.0
6.3.2.6	PF00731	8.0
6.3.2.6	PF01259	540.0
6.3.2.6	PF02222	1.0
6.3.2.6	PS01057	463.0
6.3.2.6	PS01058	408.0
6.3.2.6	PS50096	1.0
6.3.2.6	PS50975	1.0
6.3.2.6	PTHR11609	537.0
6.3.2.6	PTHR11609:SF1	138.0
6.3.2.6	PTHR11609:SF2	8.0
6.3.2.6	PTHR11609:SF3	361.0
6.3.2.6	PTHR23047	1.0
6.3.2.6	PTHR23047:SF1	1.0
6.3.2.6	SM01001	8.0
6.3.2.6	SSF51246	1.0
6.3.2.6	SSF52255	8.0
6.3.2.6	SSF52440	1.0
6.3.2.6	SSF56059	1.0
6.3.2.6	SSF56104	540.0
6.3.2.6	TIGR00081	456.0
6.3.2.6	TIGR01161	1.0
6.3.2.6	TIGR01162	6.0
6.3.2.6	TIGR02735	30.0
6.3.2.7	G3DSA:3.40.1190.10	38.0
6.3.2.7	G3DSA:3.40.1390.10	38.0
6.3.2.7	G3DSA:3.90.190.20	38.0
6.3.2.7	MF_00208	38.0
6.3.2.7	PF01225	16.0
6.3.2.7	PF02875	38.0
6.3.2.7	PF08245	38.0
6.3.2.7	PS01011	1.0
6.3.2.7	PTHR23135	38.0
6.3.2.7	PTHR23135:SF4	38.0
6.3.2.7	SSF53244	38.0
6.3.2.7	SSF53623	38.0
6.3.2.7	SSF63418	15.0
6.3.2.7	TIGR01085	38.0
6.3.2.8	G3DSA:3.30.1490.20	4.0
6.3.2.8	G3DSA:3.30.470.20	5.0
6.3.2.8	G3DSA:3.40.1190.10	680.0
6.3.2.8	G3DSA:3.40.50.20	4.0
6.3.2.8	G3DSA:3.40.50.720	680.0
6.3.2.8	G3DSA:3.90.190.20	678.0
6.3.2.8	MF_00046	678.0
6.3.2.8	MF_00047	4.0
6.3.2.8	PF01225	678.0
6.3.2.8	PF01820	4.0
6.3.2.8	PF02875	678.0
6.3.2.8	PF07478	4.0
6.3.2.8	PF08245	678.0
6.3.2.8	PS00843	4.0
6.3.2.8	PS00844	4.0
6.3.2.8	PS50975	4.0
6.3.2.8	PTHR23135	678.0
6.3.2.8	PTHR23135:SF5	678.0
6.3.2.8	SM00292	4.0
6.3.2.8	SSF51984	678.0
6.3.2.8	SSF52440	4.0
6.3.2.8	SSF53244	678.0
6.3.2.8	SSF53623	678.0
6.3.2.8	SSF56059	4.0
6.3.2.8	TIGR01082	675.0
6.3.2.8	TIGR01205	4.0
6.3.2.9	G3DSA:3.40.1190.10	504.0
6.3.2.9	G3DSA:3.40.50.720	454.0
6.3.2.9	G3DSA:3.50.50.60	19.0
6.3.2.9	G3DSA:3.90.190.20	493.0
6.3.2.9	MF_00639	481.0
6.3.2.9	PB001523	3.0
6.3.2.9	PB009607	1.0
6.3.2.9	PB011703	2.0
6.3.2.9	PB011778	7.0
6.3.2.9	PB014079	21.0
6.3.2.9	PF01262	3.0
6.3.2.9	PF01494	3.0
6.3.2.9	PF02875	406.0
6.3.2.9	PF07991	1.0
6.3.2.9	PF08245	483.0
6.3.2.9	PF13241	3.0
6.3.2.9	PF13450	4.0
6.3.2.9	PR00411	4.0
6.3.2.9	PR00420	2.0
6.3.2.9	PS01011	63.0
6.3.2.9	PS51257	24.0
6.3.2.9	PTHR23135	482.0
6.3.2.9	PTHR23135:SF2	482.0
6.3.2.9	SSF51984	456.0
6.3.2.9	SSF53244	482.0
6.3.2.9	SSF53623	482.0
6.3.2.9	TIGR01087	481.0
6.3.2.9	TIGR03775	1.0
6.3.3.1	G3DSA:3.30.1330.10	489.0
6.3.3.1	G3DSA:3.30.1490.20	11.0
6.3.3.1	G3DSA:3.30.470.20	11.0
6.3.3.1	G3DSA:3.40.50.170	7.0
6.3.3.1	G3DSA:3.40.50.20	11.0
6.3.3.1	G3DSA:3.90.600.10	11.0
6.3.3.1	G3DSA:3.90.650.10	490.0
6.3.3.1	MF_00138	11.0
6.3.3.1	MF_00741_A	23.0
6.3.3.1	MF_00741_B	452.0
6.3.3.1	PF00551	7.0
6.3.3.1	PF00586	489.0
6.3.3.1	PF01071	11.0
6.3.3.1	PF02769	490.0
6.3.3.1	PF02843	11.0
6.3.3.1	PF02844	11.0
6.3.3.1	PS00184	10.0
6.3.3.1	PS00373	7.0
6.3.3.1	PS50975	11.0
6.3.3.1	PTHR10520	57.0
6.3.3.1	PTHR10520:SF14	6.0
6.3.3.1	PTHR10520:SF15	6.0
6.3.3.1	PTHR10520:SF2	27.0
6.3.3.1	PTHR10520:SF3	7.0
6.3.3.1	PTHR24649	430.0
6.3.3.1	PTHR24649:SF0	277.0
6.3.3.1	PTHR24649:SF3	8.0
6.3.3.1	PTHR24649:SF4	34.0
6.3.3.1	PTHR24649:SF5	111.0
6.3.3.1	SSF51246	11.0
6.3.3.1	SSF52440	11.0
6.3.3.1	SSF53328	7.0
6.3.3.1	SSF55326	489.0
6.3.3.1	SSF56042	490.0
6.3.3.1	SSF56059	11.0
6.3.3.1	TIGR00639	7.0
6.3.3.1	TIGR00877	11.0
6.3.3.1	TIGR00878	489.0
6.3.3.2	G3DSA:3.40.50.10420	8.0
6.3.3.2	PF01812	8.0
6.3.3.2	PIRSF006806	8.0
6.3.3.2	PTHR23407	8.0
6.3.3.2	PTHR23407:SF1	8.0
6.3.3.2	SSF100950	8.0
6.3.3.2	TIGR02727	7.0
6.3.3.3	G3DSA:3.40.50.150	1.0
6.3.3.3	G3DSA:3.40.50.300	257.0
6.3.3.3	G3DSA:3.40.640.10	2.0
6.3.3.3	G3DSA:3.90.1150.10	4.0
6.3.3.3	MF_00336	255.0
6.3.3.3	PB004282	6.0
6.3.3.3	PB008206	1.0
6.3.3.3	PB010645	25.0
6.3.3.3	PB011591	1.0
6.3.3.3	PF00202	2.0
6.3.3.3	PF01656	5.0
6.3.3.3	PF08241	1.0
6.3.3.3	PF13500	250.0
6.3.3.3	PIRSF006755	251.0
6.3.3.3	PR00081	2.0
6.3.3.3	PS00600	2.0
6.3.3.3	PTHR11986	2.0
6.3.3.3	PTHR11986:SF4	2.0
6.3.3.3	PTHR21343	253.0
6.3.3.3	PTHR21343:SF0	252.0
6.3.3.3	SSF52540	255.0
6.3.3.3	SSF53335	1.0
6.3.3.3	SSF53383	2.0
6.3.3.3	TIGR00347	248.0
6.3.3.4	G3DSA:3.40.50.620	1.0
6.3.3.4	G3DSA:3.60.20.10	1.0
6.3.3.4	PB008185	1.0
6.3.3.4	PF00733	2.0
6.3.3.4	PF13537	1.0
6.3.3.4	PTHR11772	1.0
6.3.3.4	SSF52402	1.0
6.3.3.4	SSF56235	1.0
6.3.4.10	G3DSA:3.30.930.10	4.0
6.3.4.10	G3DSA:3.40.50.880	2.0
6.3.4.10	PB000203	2.0
6.3.4.10	PF02237	4.0
6.3.4.10	PF03099	4.0
6.3.4.10	PF09825	2.0
6.3.4.10	PTHR12835	4.0
6.3.4.10	PTHR12835:SF4	4.0
6.3.4.10	SSF52317	2.0
6.3.4.10	SSF55681	4.0
6.3.4.10	TIGR00121	3.0
6.3.4.11	G3DSA:3.30.930.10	4.0
6.3.4.11	G3DSA:3.40.50.880	2.0
6.3.4.11	PB000203	2.0
6.3.4.11	PF02237	4.0
6.3.4.11	PF03099	4.0
6.3.4.11	PF09825	2.0
6.3.4.11	PTHR12835	4.0
6.3.4.11	PTHR12835:SF4	4.0
6.3.4.11	SSF52317	2.0
6.3.4.11	SSF55681	4.0
6.3.4.11	TIGR00121	3.0
6.3.4.13	G3DSA:3.30.1330.10	14.0
6.3.4.13	G3DSA:3.30.1490.20	115.0
6.3.4.13	G3DSA:3.30.470.20	116.0
6.3.4.13	G3DSA:3.40.50.170	7.0
6.3.4.13	G3DSA:3.40.50.20	114.0
6.3.4.13	G3DSA:3.90.600.10	115.0
6.3.4.13	G3DSA:3.90.650.10	14.0
6.3.4.13	MF_00138	111.0
6.3.4.13	MF_00741_B	2.0
6.3.4.13	PF00551	7.0
6.3.4.13	PF00586	14.0
6.3.4.13	PF01071	115.0
6.3.4.13	PF02769	14.0
6.3.4.13	PF02843	115.0
6.3.4.13	PF02844	114.0
6.3.4.13	PS00184	108.0
6.3.4.13	PS00373	7.0
6.3.4.13	PS50975	115.0
6.3.4.13	PTHR10520	115.0
6.3.4.13	PTHR10520:SF10	27.0
6.3.4.13	PTHR10520:SF2	4.0
6.3.4.13	PTHR10520:SF3	7.0
6.3.4.13	SSF51246	115.0
6.3.4.13	SSF52440	114.0
6.3.4.13	SSF53328	7.0
6.3.4.13	SSF55326	14.0
6.3.4.13	SSF56042	14.0
6.3.4.13	SSF56059	115.0
6.3.4.13	TIGR00639	7.0
6.3.4.13	TIGR00877	115.0
6.3.4.13	TIGR00878	14.0
6.3.4.14	G3DSA:2.40.50.100	22.0
6.3.4.14	G3DSA:3.30.1490.20	33.0
6.3.4.14	G3DSA:3.30.470.20	38.0
6.3.4.14	G3DSA:3.40.50.20	34.0
6.3.4.14	G3DSA:3.90.226.10	74.0
6.3.4.14	PB000291	7.0
6.3.4.14	PB009779	4.0
6.3.4.14	PB013918	3.0
6.3.4.14	PF00289	34.0
6.3.4.14	PF00364	22.0
6.3.4.14	PF01039	19.0
6.3.4.14	PF02785	34.0
6.3.4.14	PF02786	34.0
6.3.4.14	PF08326	19.0
6.3.4.14	PS00188	19.0
6.3.4.14	PS00866	29.0
6.3.4.14	PS00867	34.0
6.3.4.14	PS50968	22.0
6.3.4.14	PS50975	34.0
6.3.4.14	PS50979	34.0
6.3.4.14	PS50980	16.0
6.3.4.14	PS50989	19.0
6.3.4.14	PTHR18866	34.0
6.3.4.14	PTHR18866:SF15	1.0
6.3.4.14	PTHR18866:SF33	1.0
6.3.4.14	PTHR18866:SF40	4.0
6.3.4.14	PTHR18866:SF6	15.0
6.3.4.14	SM00878	34.0
6.3.4.14	SSF51230	22.0
6.3.4.14	SSF51246	34.0
6.3.4.14	SSF52096	38.0
6.3.4.14	SSF52440	34.0
6.3.4.14	SSF56059	34.0
6.3.4.14	TIGR00514	10.0
6.3.4.15	G3DSA:1.10.10.10	4.0
6.3.4.15	G3DSA:2.30.30.100	9.0
6.3.4.15	G3DSA:3.30.420.160	3.0
6.3.4.15	G3DSA:3.30.930.10	14.0
6.3.4.15	G3DSA:3.40.50.880	2.0
6.3.4.15	MF_01274	3.0
6.3.4.15	PB000203	2.0
6.3.4.15	PB002267	1.0
6.3.4.15	PF02237	14.0
6.3.4.15	PF03099	14.0
6.3.4.15	PF03309	3.0
6.3.4.15	PF08279	4.0
6.3.4.15	PF09825	2.0
6.3.4.15	PTHR12835	14.0
6.3.4.15	PTHR12835:SF4	4.0
6.3.4.15	SSF46785	4.0
6.3.4.15	SSF50037	6.0
6.3.4.15	SSF52317	2.0
6.3.4.15	SSF53067	6.0
6.3.4.15	SSF55681	14.0
6.3.4.15	TIGR00121	13.0
6.3.4.15	TIGR00122	5.0
6.3.4.15	TIGR00671	3.0
6.3.4.16	G3DSA:1.10.1030.10	4.0
6.3.4.16	G3DSA:3.30.1490.20	8.0
6.3.4.16	G3DSA:3.30.470.20	8.0
6.3.4.16	G3DSA:3.40.50.1380	4.0
6.3.4.16	G3DSA:3.40.50.20	8.0
6.3.4.16	G3DSA:3.40.50.880	4.0
6.3.4.16	G3DSA:3.50.30.20	4.0
6.3.4.16	MF_01209	4.0
6.3.4.16	PF00117	4.0
6.3.4.16	PF00289	8.0
6.3.4.16	PF00988	4.0
6.3.4.16	PF02142	4.0
6.3.4.16	PF02786	8.0
6.3.4.16	PF02787	4.0
6.3.4.16	PR00096	3.0
6.3.4.16	PR00098	28.0
6.3.4.16	PR00099	20.0
6.3.4.16	PS00866	8.0
6.3.4.16	PS00867	8.0
6.3.4.16	PS50975	8.0
6.3.4.16	PS51273	4.0
6.3.4.16	PTHR11405	4.0
6.3.4.16	PTHR11405:SF6	4.0
6.3.4.16	SM00851	4.0
6.3.4.16	SM01096	4.0
6.3.4.16	SM01097	4.0
6.3.4.16	SSF48108	4.0
6.3.4.16	SSF52021	4.0
6.3.4.16	SSF52317	4.0
6.3.4.16	SSF52335	4.0
6.3.4.16	SSF52440	8.0
6.3.4.16	SSF56059	8.0
6.3.4.16	TIGR01368	4.0
6.3.4.16	TIGR01369	4.0
6.3.4.18	G3DSA:3.30.1490.20	19.0
6.3.4.18	G3DSA:3.30.470.20	28.0
6.3.4.18	G3DSA:3.40.50.20	28.0
6.3.4.18	PB000291	1.0
6.3.4.18	PF02222	28.0
6.3.4.18	PF02826	9.0
6.3.4.18	PF03446	2.0
6.3.4.18	PS50975	28.0
6.3.4.18	PTHR23047	28.0
6.3.4.18	PTHR23047:SF1	28.0
6.3.4.18	SSF51246	28.0
6.3.4.18	SSF52440	28.0
6.3.4.18	SSF56059	28.0
6.3.4.18	TIGR01161	28.0
6.3.4.19	G3DSA:3.40.140.10	4.0
6.3.4.19	G3DSA:3.40.50.2020	3.0
6.3.4.19	G3DSA:3.40.50.620	329.0
6.3.4.19	G3DSA:3.50.40.10	2.0
6.3.4.19	MF_01161	321.0
6.3.4.19	PB000078	8.0
6.3.4.19	PB000108	6.0
6.3.4.19	PB005398	1.0
6.3.4.19	PB005399	7.0
6.3.4.19	PB010561	1.0
6.3.4.19	PF00156	3.0
6.3.4.19	PF00383	4.0
6.3.4.19	PF01171	329.0
6.3.4.19	PF09179	122.0
6.3.4.19	PF11734	157.0
6.3.4.19	PS00103	2.0
6.3.4.19	PS00903	2.0
6.3.4.19	PTHR11807	320.0
6.3.4.19	PTHR11807:SF2	319.0
6.3.4.19	SM00977	170.0
6.3.4.19	SSF52402	323.0
6.3.4.19	SSF53271	3.0
6.3.4.19	SSF53927	4.0
6.3.4.19	SSF56037	160.0
6.3.4.19	SSF82829	167.0
6.3.4.19	TIGR01045	6.0
6.3.4.19	TIGR01203	3.0
6.3.4.19	TIGR02432	320.0
6.3.4.19	TIGR02433	172.0
6.3.4.2	G3DSA:3.40.50.300	691.0
6.3.4.2	G3DSA:3.40.50.880	694.0
6.3.4.2	MF_01227	674.0
6.3.4.2	PB003728	1.0
6.3.4.2	PF00117	692.0
